Sku,shipping_operation,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
EA0268-NV,Free,0,0,0,0,0,0,0,0
EA0269-NV,Free,0,0,0,0,0,0,0,0
EA0271-NV,Free,0,0,0,0,0,0,0,0
MO0555-BK,Free,0,0,0,0,0,0,0,0
SO1015-S-5PK,Free,0,0,0,0,0,0,0,0
BC1010-180x230-ST,Free,0,0,0,0,0,0,0,0
BC1010-240x230-MU,Free,0,0,0,0,0,0,0,0
BC1010-240x230-ST,Free,0,0,0,0,0,0,0,0
DH1027-BK,Free,0,0,0,0,0,0,0,0
DH1027-BR,Free,0,0,0,0,0,0,0,0
MP1007-D,Free,0,0,0,0,0,0,0,0
MP1007-K,Free,0,0,0,0,0,0,0,0
BR1034-2,Free,0,0,0,0,0,0,0,0
BR1035-2,Free,0,0,0,0,0,0,0,0
BR1036-2-BK,Free,0,0,0,0,0,0,0,0
BR1039-2-BR,Free,0,0,0,0,0,0,0,0
CH1030CH1031,Free,0,0,0,0,0,0,0,0
CH1032-WH,Free,0,0,0,0,0,0,0,0
DH1031-BK,Free,0,0,0,0,0,0,0,0
KD1001,Free,0,0,0,0,0,0,0,0
KD1003,Free,0,0,0,0,0,0,0,0
KD1004,Free,0,0,0,0,0,0,0,0
OF1025-F-BL,Free,0,0,0,0,0,0,0,0
OF1025-L-GY,Free,0,0,0,0,0,0,0,0
UL0106,Free,0,0,0,0,0,0,0,0
STK-SE-JBFC01,Free,0,0,0,0,0,0,0,0
STK-SE-JBFC02,Free,0,0,0,0,0,0,0,0
STK-SE-JBFC03,Free,0,0,0,0,0,0,0,0
STK-SE-1011,Free,0,0,0,0,0,0,0,0
STK-SE-1102,Free,0,0,0,0,0,0,0,0
STK-SE-1103A,Free,0,0,0,0,0,0,0,0
STK-SE-1103B,Free,0,0,0,0,0,0,0,0
STK-SE-1103C,Free,0,0,0,0,0,0,0,0
STK-SE-1106,Free,0,0,0,0,0,0,0,0
STK-SE-172056A,Free,0,0,0,0,0,0,0,0
STK-SE-172056B,Free,0,0,0,0,0,0,0,0
STK-SE-2001,Free,0,0,0,0,0,0,0,0
STK-SE-2002,Free,0,0,0,0,0,0,0,0
STK-SE-2002A,Free,0,0,0,0,0,0,0,0
STK-SE-2002D,Free,0,0,0,0,0,0,0,0
STK-SE2002E,Free,0,0,0,0,0,0,0,0
STK-SE-200808A,Free,0,0,0,0,0,0,0,0
STK-SE-200808B,Free,0,0,0,0,0,0,0,0
STK-SE-200808C,Free,0,0,0,0,0,0,0,0
STK-SE-200813,Free,0,0,0,0,0,0,0,0
STK-SE-200814,Free,0,0,0,0,0,0,0,0
STK-SE-200815,Free,0,0,0,0,0,0,0,0
STK-SE-200816,Free,0,0,0,0,0,0,0,0
STK-SE-200817,Free,0,0,0,0,0,0,0,0
STK-SE-CKBB-202024-T,Free,0,0,0,0,0,0,0,0
STK-SE-CKBB-202032-SG,Free,0,0,0,0,0,0,0,0
STK-SE-VLBB-202032,Free,0,0,0,0,0,0,0,0
STK-SE-CKBB-202042,Free,0,0,0,0,0,0,0,0
STK-SE-BFC-C1,Free,0,0,0,0,0,0,0,0
STK-SE-BFC-C2,Free,0,0,0,0,0,0,0,0
"STK-SE- BC-202099",Free,0,0,0,0,0,0,0,0
"STK-SE- BC-202099 A",Free,0,0,0,0,0,0,0,0
MSL-LED-CT001,Free,0,0,0,0,0,0,0,0
MSL-CT001,Free,0,0,0,0,0,0,0,0
MSL-TV1001,Free,0,0,0,0,0,0,0,0
MSL-MD-TV1001,Free,0,0,0,0,0,0,0,0
MSL-CTTV-WN,Free,0,0,0,0,0,0,0,0
AP0035,Free,0,0,0,0,0,0,0,0
BF1026-Q-GY,Free,0,0,0,0,0,0,0,0
BR1037-2-BK,Free,0,0,0,0,0,0,0,0
BR1038-2-BR,Free,0,0,0,0,0,0,0,0
BR1040-2-BK,Free,0,0,0,0,0,0,0,0
CH1034-2-BL,Free,0,0,0,0,0,0,0,0
CH1034-2-DG,Free,0,0,0,0,0,0,0,0
CH1034-2-YL,Free,0,0,0,0,0,0,0,0
CH1036-40x40-BZ,Free,0,0,0,0,0,0,0,0
CH1036-40x40-GD,Free,0,0,0,0,0,0,0,0
CH1036-40x40-WH,Free,0,0,0,0,0,0,0,0
CH1037-2-GY,Free,0,0,0,0,0,0,0,0
CH1037-2-MU,Free,0,0,0,0,0,0,0,0
CH1037-2-NV,Free,0,0,0,0,0,0,0,0
CH1037-2-PK,Free,0,0,0,0,0,0,0,0
DH1032-BK,Free,0,0,0,0,0,0,0,0
DH1032-BR,Free,0,0,0,0,0,0,0,0
DH1032-WO,Free,0,0,0,0,0,0,0,0
EA0248-R-BK,Free,0,0,0,0,0,0,0,0
EA0248-R-CF,Free,0,0,0,0,0,0,0,0
EG1208-1S-BK,Free,0,0,0,0,0,0,0,0
EG1208-1S-GY,Free,0,0,0,0,0,0,0,0
EG1208-1S-NV,Free,0,0,0,0,0,0,0,0
EG1208-2S-BK,Free,0,0,0,0,0,0,0,0
